Started Log File:     logs/MMTK 2021-06-04 11-07-28-COM4.txt
Data Source:     COM4

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.08	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.08	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.08	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.05	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.05	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.05	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.08	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.08	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.05	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.05	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.05	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.07	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.04	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.06	0	1	1	0	0	12.32	1	1	1	1	1	
