Started Log File:     logs/MMTK 2021-06-04 10-46-36-COM4.txt
Data Source:     COM4

1BáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	0.00	0.00	-9.91	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.89	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.34	1	1	1	1	1	
