Started Log File:     logs/MMTK 2021-06-01 11-02-26-COM5.txt
Data Source:     COM5

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.41	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.44	0	1	1	0	0	12.25	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.25	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.25	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.25	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.29	1	1	1	1	1	
